Seed,Epoch,Dual_Variable_nu,Average_Discounted_Cost,Average_Returns
88,1,0.0,51.55923425443301,-333.19111680061053
88,2,0.0,48.952110096034744,-300.24217543486986
88,3,0.0,50.67065026791636,-186.92893367624902
88,4,0.0,49.92053851488142,-250.17355337151133
88,5,0.0,53.79730318361631,-175.76851163917138
88,6,0.0,47.70363376195579,-217.53485151666547
88,7,0.0,57.77424718554584,-231.66833904228417
88,8,0.0,48.05945136560864,-227.4044654658651
88,9,0.0,47.2290484447455,-248.16717259277002
88,10,0.0,48.9003124702262,-195.27128746151286
88,11,0.0,52.05821824920514,-211.06468894273604
88,12,0.0,47.07465502796764,-171.79808499976497
88,13,0.0,44.762275881354434,-142.99539271820316
88,14,0.0,47.32712305222539,-194.26781821925908
88,15,0.0,44.44356348830483,-127.19723887009404
88,16,0.0,47.52772933697487,-155.80351036538454
88,17,0.0,40.46689034908858,-102.36227110229936
88,18,0.0,43.62834557373754,-41.848944857991945
88,19,0.0,42.25258844583779,-132.229355868977
88,20,0.0,43.277193826804144,-75.10856607984067
88,21,0.0,41.70727711731668,-165.0223104900693
88,22,0.0,42.914522697982946,-88.45726363719776
88,23,0.0,43.092042816599374,15.3645651375085
88,24,0.0,47.35241017535287,-39.26227473959453
88,25,0.0,47.35675005468515,-30.42338548184826
88,26,0.0,44.65424481329471,69.21223798564328
88,27,0.0,54.48441424116983,104.450796059521
88,28,0.0,47.54979994647605,156.05688281461138
88,29,0.0,47.24038246333902,60.77857500636493
88,30,0.0,57.0893028661536,171.73325638109
88,31,0.0,72.17426001545756,224.65869714733793
88,32,0.0,58.33182889607842,204.64171114849756
88,33,0.0,55.93044164143258,273.68690307574104
88,34,0.0,56.538993025806654,280.8375477169102
88,35,0.0,60.806730978563024,75.80608136074642
88,36,0.0,62.73335340553942,295.4814915500732
88,37,0.0,60.9266732956364,66.18552232971575
88,38,0.0,54.97937641083509,357.1854541914341
88,39,0.0,70.05354982939208,484.88145553495985
88,40,0.0,56.060666337250794,-143.01842948467964
88,41,0.0,63.62330296456734,79.77714172183934
88,42,0.0,59.302767160923956,255.54613618478595
88,43,0.0,94.86792596470094,239.26280363723822
88,44,0.0,73.70747064222263,364.78943480741464
88,45,0.0,83.67652230201747,555.6673946771303
88,46,0.0,85.22845990499556,324.78167746153093
88,47,0.0,77.54115020979023,569.2504341636347
88,48,0.0,81.02312563152933,531.1206207933735
88,49,0.0,86.3329530463063,189.39877389318127
88,50,0.0,81.99011080512952,185.69070992461542
88,51,0.0,84.5397947265248,518.8200684907017
88,52,0.0,83.46057604340078,541.7677171145858
88,53,0.0,101.76597563447339,299.83032112955954
88,54,0.0,84.59478394619097,664.0068825948429
88,55,0.0,90.73427140797392,650.9244279951968
88,56,0.0,104.91042065353264,495.21536052985573
88,57,0.0,95.41484935876234,781.7453277064529
88,58,0.0,85.39896751945024,224.10777640735313
88,59,0.0,90.10818589299842,264.7017585799265
88,60,0.0,111.56336957466736,768.344246641395
88,61,0.0,93.3079918729226,703.1896528141015
88,62,0.0,96.16250063769925,733.5648291993945
88,63,0.0,91.76334751585046,244.7590587851215
88,64,0.0,95.39855793201578,330.0259408045853
88,65,0.0,109.21738442208441,399.8851314385091
88,66,0.0,99.20087624831878,792.1988347377255
88,67,0.0,107.9681272301137,861.635082096275
88,68,0.0,114.22644010132407,952.1225400080375
88,69,0.0,97.09490029801827,312.5254776077412
88,70,0.0,113.70116154484435,945.2374154523825
88,71,0.0,129.49359593435392,1027.0979424948762
88,72,0.0,120.25884221863308,1002.2946732397768
88,73,0.0,107.59946962758002,957.1632242388989
88,74,0.0,108.05633565740233,988.7349709516104
88,75,0.0,96.31866426286639,962.6475956768592
88,76,0.0,120.2060709329103,1006.6728935444963
88,77,0.0,120.50638413911292,1089.9736423299291
88,78,0.0,117.67901629715972,1096.941687592957
88,79,0.0,126.92752828673713,579.8499154292974
88,80,0.0,120.5994154668443,245.2111381362714
88,81,0.0,114.06942361941398,1043.4209368314282
88,82,0.0,118.8151569520389,1158.1531383524446
88,83,0.0,132.99209958149177,633.1599104923101
88,84,0.0,143.353748841985,1088.1157768235757
88,85,0.0,136.31635474627083,1195.1878283213857
88,86,0.0,121.744174937133,1068.8635748419806
88,87,0.0,126.670587080253,576.9248248804063
88,88,0.0,138.86605767670477,967.813892920188
88,89,0.031318330134242275,155.12183301342424,685.773912206857
88,90,0.0,93.71481597761783,341.6767482399665
88,91,0.0,105.08651962772782,375.4182840722543
88,92,0.0,143.9748734142075,1114.9642030473588
88,93,0.0,138.4014592943699,676.3811226899785
88,94,0.0,147.48644602302554,635.609159644734
88,95,0.0,145.18534484155964,1159.341106592247
88,96,0.028306546786291735,154.82065467862918,570.0629959876198
88,97,0.0,113.62808859811796,142.6959167800615
88,98,0.0,136.66344043299256,1178.9666152211712
88,99,0.0,118.25393648109883,1113.6564999333282
88,100,0.0,145.54796359576767,1230.9503217824517
88,101,0.0,139.27975563588402,489.51846716326827
88,102,0.0,130.337221484841,863.9883532654422
88,103,0.0,114.75592005704532,924.2194198355287
88,104,0.0,125.012981784121,1087.0424874048556
88,105,0.0,144.56072430085217,1226.236466851241
88,106,0.0,113.45596939473333,100.8250323503272
88,107,0.0,141.81848971649134,1004.2099735435802
88,108,0.0,131.56333971390774,598.0432107861006
88,109,0.0,129.9517229219068,1028.7093350711214
88,110,0.0,126.15705197867025,1211.5740225933123
88,111,0.0,123.22208121413463,1068.6692727739614
88,112,0.04176624988905644,156.16662498890565,1107.4412884868934
88,113,0.0,134.56285704848955,1306.7265497301332
