Seed,Epoch,Dual_Variable_nu,Average_Discounted_Cost,Average_Returns
88,1,0.007666947752976263,7.766694775297626,-0.24088628516385693
88,2,0.0,5.569759855253989,0.6165088438267948
88,3,0.0018692710354158938,7.186927103541589,1.9574644943385635
88,4,0.012321611458650822,8.045234042323493,3.5436834811305795
88,5,0.0403540217961995,9.803241033754867,4.192500722259756
88,6,0.031353760909062264,6.099973911286277,6.289077726679587
88,7,0.0559753089328757,9.462154802381344,6.626976055955541
88,8,0.06608594994117889,8.01106410083032,7.81971705534874
88,9,0.11478823155209186,11.870228161091298,8.460215580071068
88,10,0.12211586807746143,7.732763652536956,9.777422593846353
88,11,0.1493647158625304,9.724884778506896,11.090019541457837
88,12,0.15637677460461608,7.701205874208568,11.588025309325943
88,13,0.21921355932604747,13.28367847214314,12.06720093058676
88,14,0.22361420607071322,7.440064674466576,13.164583554767091
88,15,0.2708762053140244,11.726199924331116,13.589423612327852
88,16,0.32910225482901195,12.822604951498755,14.760323683053723
88,17,0.36076658738353606,10.166433255452409,15.91841209599248
88,18,0.40006828523863636,10.930169785510026,17.38428513363995
88,19,0.4320518724453289,10.198358720669253,17.956960947485022
88,20,0.45461808925198316,9.256621680665425,18.998472249508946
88,21,0.49176336953520455,10.714528028322139,19.477206778710567
88,22,0.5626948636172813,14.093149408207678,19.045562038882576
88,23,0.6057832538510716,11.308839023379027,19.890162326403487
88,24,0.6195091181164408,8.372586426536925,21.936738120060205
88,25,0.6506263615579622,10.111724344152133,21.213533456874103
88,26,0.6822197830190169,10.15934214610547,22.67098024902431
88,27,0.7080138859543932,9.579410293537627,23.660719934006256
88,28,0.7406683313038116,10.265444534941846,23.002532245413764
88,29,0.7651825201561567,9.451418885234514,23.82427571480626
88,30,0.7958791714265275,10.069665127037084,23.96626237799671
88,31,0.8111635364353379,8.528436500881037,25.068324250101952
88,32,0.828266395860922,8.710285942558405,25.676320009664064
88,33,0.8554125234212914,9.714612756036935,25.040260925431713
88,34,0.8956957601128737,11.028323669158235,25.53960507241279
88,35,0.8916485980973018,6.595283798442808,25.247456722749845
88,36,0.9307944027203578,10.914580462305612,27.054412705398352
88,37,0.9642752760727735,10.348087335241564,26.816567697918984
88,38,0.972797621603019,7.852234553024549,26.36165589170407
88,39,0.9923908136801033,8.959319207708436,26.806741434179504
88,40,1.0095149073566905,8.712409367658719,26.76014620498121
88,41,1.0229865186790414,8.347161132235106,26.046120392780562
88,42,1.0371487878778873,8.416226919884592,27.917267295728216
88,43,1.0800109470960026,11.286215921811527,27.64992483250727
